visitorid,itemid,transactionid
9155,431290,13261
9235,62290,1179
9498,74117,15769
9519,416530,1635
10023,23762,5602
10023,51969,5602
10248,232917,2380
10443,96233,13715
10539,256513,3351
10560,257040,16339
10685,83168,12148
11172,314579,7242
11209,131609,11634
11209,185741,11634
11209,272649,11634
11209,387913,11634
11248,29196,17635
11248,409804,14015
11248,409804,8823
11287,90293,14928
11333,166100,11161
11333,403302,4190
11438,82896,9760
11462,179271,14364
11508,186228,3727
12046,205663,14286
12067,144587,10031
12134,180182,2446
12148,157438,5921
12148,193554,5921
12148,428040,5921
12295,86452,9131
12356,145721,4218
12506,232085,12153
12506,232085,1225
12579,225261,1585
12579,371381,1585
13151,179535,11688
13151,265966,11688
13151,339808,11688
13240,399192,3899
13455,381766,11442
13455,381766,15606
13455,48030,15606
13764,8096,15875
13833,182131,14458
13833,334401,14926
13833,60159,14926
14618,157770,16525
14796,284663,10592
14885,375332,13899
14903,206241,14371
15218,66083,3014
15299,466008,16962
15318,344850,6910
15653,371985,7166
15653,371985,8770
15852,182665,12585
16158,136860,9338
16357,332870,6009
16655,224481,13714
16655,308438,13714
16766,273822,8462
16945,383001,8880
16975,413241,10662
17028,258155,935
17067,354714,7506
17476,137038,5565
17476,37403,5565
17476,382130,5565
17476,437441,5565
17476,4553,5565
17476,457705,5565
17476,84653,5565
17569,229749,8848
17591,224182,1115
17591,458140,1115
17629,192875,8636
17629,230397,67
17676,114735,17292
17676,119267,6360
17676,125399,15266
17676,12905,3635
17676,150797,1724
17676,158666,1936
17676,164872,3689
17676,171031,1226
17676,174947,4001
17676,176363,3631
17676,187119,12537
17676,188051,6021
17676,190732,6696
17676,196659,17432
17676,204790,2452
17676,219512,6437
17676,221329,8444
17676,231482,4548
17676,236302,5071
17676,237952,4804
17676,245342,8840
17676,253024,11003
17676,25655,6484
17676,270383,7338
17676,278943,5784
17676,295184,2385
17676,298056,11838
17676,319900,3631
17676,341701,3928
17676,37930,10280
17676,386324,8678
17676,399796,9495
17676,400568,15419
17676,436217,11814
17676,441852,11678
17676,443931,15852
17676,459546,8067
17676,546,4794
17676,63543,16467
17676,69917,3689
17676,83103,16467
17676,869,8152
17746,440912,8331
17800,387780,16514
17857,152100,9187
17970,415562,14233
18024,228644,16297
18029,352705,2362
18032,277504,15835
18060,56100,10898
18195,398579,8592
18197,317376,17150
18424,222697,17455
18424,77640,17455
18573,315911,13073
18573,416017,13073
18573,44172,13073
18688,338407,10660
19052,273104,17557
19206,288340,2625
19268,244819,16629
19500,355994,11797
19506,166553,1725
19512,272880,12189
19832,405290,5041
19967,242245,1779
20099,174185,17439
20167,136815,5740
20389,297858,8195
20815,396697,7567
20984,84595,5755
21048,462461,17171
21070,384470,3997
21079,60323,5061
21302,171814,10552
21574,165789,1539
21610,107535,11202
21610,122412,11202
21610,44986,11202
21712,153874,13359
21712,16344,13359
21712,268006,13359
21712,349470,13359
21712,372617,13359
21712,395273,13359
21976,343468,13316
22079,106786,4679
22090,205566,14860
22276,427360,4984
22596,299915,831
22666,54773,14142
22778,153778,2783
22944,328901,14035
22990,203569,3129
22990,287796,3129
22990,322551,3129
22990,32944,3129
22990,425963,3129
22990,455523,2701
22990,455523,3889
22990,58905,2701
22990,58905,3889
22990,76146,3129
22990,81916,3129
22998,219839,2421
23076,301278,7409
23076,434289,15424
23497,55955,11641
23645,250369,10069
23730,113535,2934
23964,32227,4380
24067,338767,16557
24067,455793,16557
24142,150215,15386
24166,175086,384
24409,380302,17242
24409,461765,17242
24644,38122,13406
24662,195234,15208
24688,216768,6485
24722,172532,12798
24722,411198,12798
24722,65992,12798
24840,250191,9535
25040,254196,2324
25081,74296,551
25094,345361,6194
25156,415331,10225
25156,446522,10225
25481,299222,10842
25809,222888,7016
25896,105315,17321
25896,395407,17321
25922,407506,11584
25922,424265,11584
26032,19912,10768
26189,429846,6382
26533,148338,12056
26533,193408,12056
26533,60479,12056
26626,459936,15627
26761,83570,2093
26872,357054,6010
26923,26634,292
27197,209752,1551
27326,178108,7663
27360,445351,2479
27695,369112,2909
27695,369112,9288
27695,456056,9288
27851,23438,803
27851,293799,803
27851,366618,803
27851,63957,803
28085,201167,510
28161,166100,14759
28308,434652,1273
28387,372002,10622
28524,460188,16939
28791,92198,11480
28797,133224,15506
28896,414044,12575
29529,136611,15546
29531,92682,5243
29659,79378,5137
29744,264689,3667
29744,79056,3667
29757,243980,3225
29802,203231,3009
29802,393809,16433
29802,393809,8672
29835,38239,13105
30374,107503,14376
30374,107503,9301
30438,260217,7867
30633,138931,17492
30687,963,5926
30812,191547,14095
30824,413951,2785
31149,198903,14305
31236,366186,14733
31314,29656,1793
31359,14183,6014
31557,72252,5894
31613,262813,272
31645,179526,3514
31645,270383,3514
31645,436004,3514
31677,248455,13952
31741,10457,3393
31741,50734,3393
31798,25688,14852
31798,99296,5196
31843,187569,9028
31874,285055,6333
31929,227790,1946
31936,166007,10430
32119,154485,8185
32160,119737,15929
32160,80858,109
32358,546,17172
32378,269611,9240
32378,350397,9240
32432,339703,5686
32596,430113,8237
32787,133472,5266
32787,88325,5266
32895,37554,12255
32895,37554,15064
32904,102434,10575
33196,245474,15712
33196,30336,15712
33196,31239,15712
33308,27221,4872
33350,154476,10407
33571,58638,10896
33608,279436,9158
33717,236158,11057
33889,372941,4485
33895,244534,3569
33946,247785,15902
33946,325772,15902
34059,5379,6552
34157,157375,13079
34200,55955,573
34381,416017,5754
34519,458803,1905
34519,98178,1905
34570,76941,1854
34598,361106,10200
34598,410001,15768
34630,443161,7769
34648,281211,11609
34665,310944,13305
34665,310944,2890
34667,284455,6688
34705,278586,3116
34825,167986,5667
34850,295184,11287
34923,316753,13475
34951,12217,17148
34951,12217,7862
34951,387373,17148
34951,463280,7862
34955,234299,6316
35112,161354,7306
35157,266322,7740
35186,103127,8884
35339,443407,16263
35623,135864,8875
35623,175142,8875
35623,196484,8875
35623,288525,8875
36007,191690,5045
36250,133247,6190
36310,181527,16293
36450,50411,2878
36502,1423,8034
36502,176605,8034
36502,220836,8034
36640,150215,14399
36682,36620,13692
36707,88921,8089
36866,122435,9935
36866,226092,9935
36989,21832,11907
37093,393732,11194
37183,191733,11375
37191,450760,13530
37288,119586,16705
37382,255708,10144
37574,201882,2463
37845,463663,14119
37972,373842,16552
38015,21163,12496
38015,427641,13965
38102,161663,16709
38103,140532,2905
38103,164748,2905
38103,200176,2905
38103,26508,2905
38103,301602,2905
38103,330035,2905
38103,86391,2905
38245,126044,15079
38711,176162,12385
38711,235344,12385
38878,312613,13511
39203,390093,10053
39272,48030,11263
39467,135282,5983
39480,145721,9285
39480,150547,9285
39480,151385,9285
39480,288887,9285
39706,250745,14402
39985,173653,14025
40024,117075,11689
40050,301634,1895
40175,97750,4903
40251,79524,8591
40353,268883,7638
40618,64154,7886
40802,312728,15276
40879,133052,4675
41016,351456,10486
41098,84321,16007
41278,154448,14891
41386,340921,9675
41416,107017,15120
41529,27127,5101
41903,303776,9866
42011,55430,7615
42040,334477,723
42059,388085,740
42168,170498,15526
42192,231942,8992
42261,162745,16391
42326,69174,4564
42435,315852,10005
42552,124006,539
42552,150426,539
42552,176424,9885
42552,185616,539
42552,234207,539
42552,236862,539
42552,295266,9885
42552,302569,9885
42552,334401,539
42552,349273,9885
42552,401076,9885
42552,412137,9885
42552,49673,539
42669,168386,11514
42857,263258,13304
42942,62043,9079
43176,369053,9887
43176,449966,9887
43354,134118,9501
43393,168224,4444
43605,17724,6541
43643,21674,11382
43687,159380,3730
43770,127415,3233
43775,429721,16092
43804,200793,15466
44326,99647,3606
44566,84619,10308
44880,123175,10070
44880,123175,14939
44885,178250,1726
45018,216266,2717
45018,444593,2717
45113,397800,919
45183,43447,11355
45270,416855,8882
45512,305250,9477
45825,399503,6829
45825,90910,6829
45870,357054,6104
45870,407058,6104
45969,200802,6015
46167,280946,1121
46167,311170,6920
46535,119639,11928
46535,286731,1485
46535,303790,8108
46535,380440,10345
46568,202512,4502
46748,151471,5596
46805,22436,10819
46841,167769,4803
47004,260719,398
47029,415660,13733
47029,415660,13733
47153,326268,4753
47197,99675,10744
47433,456748,4448
47467,299222,482
47582,89871,16015
47803,315543,9505
47803,461190,10206
48168,56506,5158
48245,374092,15352
48703,193518,8979
48728,310848,8402
48728,379272,8402
48728,397067,8402
48768,19883,14076
48820,10572,10264
48820,10572,11188
48820,10572,7592
48820,125275,15031
48820,146422,10264
48820,146642,10264
48820,146642,11188
48820,146642,7592
48820,171878,15031
48820,23165,11188
48820,23165,7592
48820,251040,10264
48820,276402,15031
48820,286718,15031
48820,293733,15031
48820,341869,10264
48820,341869,11188
48820,341869,7592
48820,348272,15031
48820,357529,10264
48820,357529,11188
48820,357529,7592
48820,359573,10264
48820,382130,10264
48820,382130,11188
48820,382130,7592
48820,384180,11188
48820,384180,7592
48820,415928,15031
48820,425159,15031
48820,447067,15031
48820,459319,15031
48820,461686,15031
48820,47126,10264
48896,318333,16602
49120,36864,8146
49158,88167,6233
49266,364074,7819
49275,2463,6575
49347,39439,3793
49384,31976,11134
50340,8411,9743
50467,286731,2302
50555,2416,3398
50687,142459,10820
50847,415242,2335
50921,448481,10267
50921,448481,7534
51304,426958,3989
51591,456951,10863
51595,116675,8415
51595,410122,8415
51613,345086,2086
51670,180751,12045
51676,393598,15020
51831,169007,11854
51831,330084,11854
51951,312129,9276
52108,397692,13598
52183,163297,9426
52305,29196,5113
52363,113566,14471
52406,43830,14021
52452,230257,15776
52484,383212,8540
52493,93558,12475
52674,291394,16198
52701,104864,15682
52860,112461,3436
52940,309821,3346
52967,290999,17475
53051,339808,16578
53051,369586,16578
53051,403969,16578
53164,186468,8517
53164,71748,8517
53181,239968,1549
53691,38180,5878
53842,111179,225
53842,119736,9414
53842,12404,3548
53842,138661,10816
53842,16813,6372
53842,168224,3780
53842,217278,11693
53842,220797,10188
53842,221329,7165
53842,232533,9921
53842,233735,16457
53842,238465,3337
53842,250347,932
53842,257597,11757
53842,268051,9278
53842,272004,12745
53842,275150,16961
53842,291877,15379
53842,293416,5875
53842,293808,7264
53842,303935,4246
53842,305503,2940
53842,315543,10771
53842,316472,11528
53842,317735,5706
53842,318333,15731
53842,320130,14815
53842,320130,3065
53842,320130,6352
53842,324946,9643
53842,326324,15065
53842,332381,9520
53842,336945,9606
53842,34093,14990
53842,351307,15242
53842,355994,9414
53842,366443,10974
53842,369447,10704
53842,369447,11757
53842,371445,7124
53842,372382,16961
53842,383100,9327
53842,384723,5875
53842,400093,14616
53842,401682,14254
53842,409323,8841
53842,409793,2130
53842,409804,9360
53842,419371,3080
53842,420528,3135
53842,428423,5875
53842,430965,13015
53842,433009,6584
53842,435624,13015
53842,437549,12331
53842,45738,9217
53842,465833,7550
53842,49156,16984
53842,49881,4831
53842,58059,14681
53842,73917,10154
53842,82877,14912
53842,829,9217
53842,90360,5875
53925,265350,12186
53982,289021,5502
53982,73593,5502
54002,361834,11938
54007,269610,2445
54011,277059,16628
54017,362760,13823
54032,373384,9568
54121,140070,1874
54210,87820,13621
54493,170390,13411
54493,170390,13595
54524,307443,1082
54524,364789,1082
54524,88831,1082
54535,116481,7193
54535,157480,7193
54535,34278,7193
54535,51346,7193
54639,326551,7065
54672,116589,16286
54845,83647,2915
54958,325521,4468
54960,91105,15661
55018,397262,6275
55023,403969,13722
55135,164885,616
55270,259487,5112
55389,349555,13239
55389,352258,15688
55389,357541,4150
55389,375118,17183
55389,412516,9997
55389,439085,3272
55389,59765,6303
55599,377691,8995
55609,262099,456
55697,139769,9751
55838,264297,10508
55838,357802,10508
55838,384574,10508
55838,65286,10508
55843,136815,6203
55897,205603,14832
56096,423342,9251
56203,143860,12986
56312,222888,11686
56332,398489,10001
56541,365889,14581
56645,178935,9703
56745,457942,7110
56775,383785,1243
56775,383785,7149
56971,133456,15286
57006,119737,17184
57088,137697,16140
57111,387780,968
57246,362340,13950
57499,432357,1592
57559,421788,5317
57739,249148,8321
57905,128569,1231
57905,12984,5886
57905,138196,12578
57905,141908,3879
57905,150215,3089
57905,151178,1495
57905,17478,14198
57905,178274,8774
57905,178554,13527
57905,178554,15753
57905,184628,8631
57905,192948,3348
57905,204209,3089
57905,205111,1495
57905,257645,2278
57905,267416,9283
57905,292444,2125
57905,338395,7360
57905,341009,8004
57905,342777,3115
57905,358895,59
57905,358906,10993
57905,36868,7360
57905,370213,13358
57905,386480,16910
57905,392945,3115
57905,395497,17473
57905,41979,11563
57905,428257,2164
57905,428257,5821
57905,429769,609
57905,452986,1460
57905,455641,14198
57905,456792,2739
57905,459583,10223
57905,462742,12824
57905,62275,13527
57905,62275,15753
57905,69127,7288
57905,69619,17401
57905,73593,1231
57905,87915,3115
57905,95426,3089
57905,96935,6867
57925,134751,4658
57929,288267,15036
58013,113899,13257
58024,351464,1685
58024,463871,3487
58074,347414,538
58597,456889,4585
58597,6973,4585
58730,185303,14624
58740,94521,7470
58970,94757,12950
59209,271151,15685
59291,12514,14415
59291,59586,14415
59399,273743,237
59604,257040,14362
59776,54089,3684
59784,109589,12400
59803,278872,14742
59832,124065,15792
60025,215363,10490
60099,154638,7273
60497,201367,15536
60568,36512,10599
60711,11316,14643
60711,24417,14643
60711,88372,14643
60790,135110,2752
61323,231400,9589
61334,382884,7222
61635,56570,16387
61720,23332,9888
61806,68242,1343
62004,312594,5739
62058,344388,4970
62139,171632,11326
62139,336979,11326
62155,371336,2144
62330,237553,7502
62368,104139,5871
62377,27020,10110
62434,266725,8443
62489,51755,9467
62602,448690,2281
62656,384302,3906
62679,184620,8042
62694,48030,3835
62701,297513,12993
62762,412516,835
62893,25662,12561
62990,96085,16492
63140,178358,13110
63156,227318,9654
63181,379520,5532
63208,362606,16249
63274,296614,10048
63274,306492,10048
63274,441042,10048
63351,312728,7322
63475,114389,11116
63786,294242,2825
63786,342530,3090
64099,134045,12610
64444,375107,8314
64575,199975,9197
64763,294210,15556
64763,44759,15556
64931,120262,17109
64931,313810,17109
64931,352082,17109
64931,390824,17109
64931,409425,17109
65124,3445,4557
65149,363145,39
65210,321385,11390
65249,130231,15671
65471,257040,2124
65737,441852,970
65740,354881,3858
65740,354881,3858
65927,29757,11795
66052,174074,19
66139,373877,8715
66238,2641,17472
66313,144991,8205
66317,450082,3345
67015,213834,11104
67015,445351,11104
67264,51767,11526
67301,119298,10574
67370,434271,12431
67712,207825,11282
67712,207825,4799
67744,333227,11557
67744,33993,11557
67803,161453,6412
68085,51354,15463
68085,51354,17440
68087,368403,15253
68318,308978,10496
68318,379953,10496
68418,82576,1384
68449,303790,9652
68557,257410,9577
68557,357779,9577
68601,20201,13565
68646,297097,2756
68748,147555,11037
68759,199975,2043
68804,171042,10642
69044,340194,3597
69044,91941,3597
69072,383001,4292
69301,367900,1174
69301,448453,1174
69442,30391,4883
69442,30391,9881
69543,189961,3615
69543,254932,3615
69645,325852,14631
69645,65091,15341
69804,428257,119
69880,242910,4359
69982,207633,2705
70570,49990,6053
70678,451238,12484
70888,444962,6824
70999,235636,9331
70999,239555,9331
71167,213239,15565
71192,279316,9146
71272,372603,7937
71272,446500,7937
71586,461686,2695
71689,173065,2149
71746,463663,13541
71753,158912,3571
71927,84160,3726
72155,390712,4692
72194,164035,540
72232,68048,638
72254,201955,8145
72254,292749,8145
72302,239564,17616
72302,48030,17616
72373,461686,2855
72569,139725,6961
72783,17398,16782
72828,161623,4429
72944,237422,14588
73029,159780,3843
73292,57830,8168
73292,79524,8957
73306,102399,13444
73306,102399,7999
73306,13119,13444
73306,13119,7999
73306,420565,13444
73306,420565,7999
73341,254477,4269
73356,143689,12289
73483,56630,17270
73501,299114,2618
73567,320900,16187
73567,320900,4051
73635,126307,1660
73645,437371,11167
73679,240900,11517
73819,326974,1361
73856,231810,3775
73856,365375,3775
73856,407403,3775
73867,43267,12069
73963,187018,11401
74080,62613,11168
74260,42523,9433
74280,140248,10423
74404,220003,2928
74483,374092,3241
74699,138427,2075
74832,319608,16847
74920,270056,583
74920,345059,583
75424,195809,17384
75424,277247,17384
75424,288887,17384
75424,289096,17384
75424,29195,17384
75424,31591,17384
75424,326609,17384
75424,341578,17384
75424,446102,17384
75424,90687,17384
75595,389088,11028
75630,79056,10354
75630,79056,13974
75630,79056,5774
75653,229544,13447
75826,420960,12987
76124,272969,13935
76301,186214,15074
76301,186214,2978
76347,264379,3647
76475,61460,1969
76565,217068,16148
76757,100282,10278
76757,101666,12283
76757,103221,12961
76757,103407,3498
76757,104560,6320
76757,10716,3504
76757,108021,17010
76757,10885,4716
76757,11311,6182
76757,115258,16736
76757,116589,1349
76757,116677,15259
76757,118914,5696
76757,119736,12568
76757,119736,14692
76757,119736,3227
76757,119736,542
76757,119736,7349
76757,120990,16060
76757,123175,3205
76757,125232,1587
76757,128118,14686
76757,129193,11101
76757,130226,4129
76757,134264,6036
76757,136971,10466
76757,144704,4396
76757,144704,682
76757,150809,17019
76757,151178,9161
76757,16158,14708
76757,161925,1040
76757,166100,2148
76757,168224,6468
76757,173766,6865
76757,17478,3461
76757,177695,11082
76757,18155,10770
76757,185570,15863
76757,191303,6332
76757,191973,5771
76757,195423,11244
76757,199417,3361
76757,206970,14446
76757,208450,3747
76757,208529,4358
76757,21013,8113
76757,21573,983
76757,222166,5696
76757,226726,13522
76757,229555,12171
76757,230045,16072
76757,231482,16180
76757,233644,2032
76757,234299,8575
76757,235905,10265
76757,23762,5873
76757,241752,15478
76757,242521,10759
76757,243171,7540
76757,244636,7530
76757,247862,1943
76757,247879,14107
76757,249434,3438
76757,256432,11561
76757,257921,16138
76757,26284,1095
76757,264915,6981
76757,266024,8746
76757,267010,2439
76757,268081,3227
76757,269258,3465
76757,269955,16468
76757,274710,5930
76757,276481,640
76757,278893,9599
76757,280375,11151
76757,280375,14851
76757,281854,2875
76757,285870,17383
76757,285895,8084
76757,291559,1621
76757,301721,11946
76757,302066,10157
76757,310514,15199
76757,312251,5552
76757,3140,10880
76757,314789,17398
76757,320,16619
76757,320970,13248
76757,321385,8548
76757,322211,362
76757,323084,14735
76757,327408,1064
76757,328298,2875
76757,329900,11946
76757,332821,11241
76757,336314,6025
76757,33993,14155
76757,340377,17010
76757,34320,9161
76757,344921,9252
76757,345694,8215
76757,346673,9650
76757,348039,12563
76757,350240,16718
76757,352042,669
76757,353433,16465
76757,364875,2393
76757,369158,11946
76757,369882,16468
76757,37029,8215
76757,380438,6468
76757,381508,14692
76757,382885,6320
76757,385520,2393
76757,385769,5040
76757,386527,36
76757,387373,5377
76757,387373,542
76757,387478,9974
76757,396750,4605
76757,397498,4124
76757,39773,3336
76757,400321,4222
76757,403,15843
76757,406473,13521
76757,408504,14229
76757,409138,669
76757,411527,12563
76757,412143,2916
76757,412516,1792
76757,412956,2416
76757,413174,7677
76757,414654,7349
76757,420960,5558
76757,421606,17365
76757,427229,747
76757,428531,753
76757,430034,5696
76757,435727,1879
76757,43590,12076
76757,436115,8814
76757,43830,7430
76757,439868,12961
76757,440807,13967
76757,442131,12568
76757,443914,17010
76757,444899,1762
76757,448453,9749
76757,449403,9254
76757,457970,14241
76757,458271,17010
76757,459717,7184
76757,46156,10363
76757,46156,10899
76757,463329,14794
76757,465226,15315
76757,48224,3747
76757,53636,2507
76757,54431,11816
76757,55364,12316
76757,57245,9680
76757,57788,6553
76757,60980,1167
76757,62950,14087
76757,63133,3991
76757,67438,14193
76757,68708,9452
76757,70929,8113
76757,71594,11328
76757,78281,983
76757,81434,2875
76757,829,7988
76757,85579,13587
76757,86675,15926
76757,88985,6036
76757,89775,8570
76757,89977,1338
76757,90453,5696
76757,90931,5986
76757,93680,5696
76757,97454,1856
76757,98012,10468
76757,99684,12316
76913,440560,4099
77032,346996,12602
77032,346996,13117
77215,154638,8701
77215,2463,8701
77253,308823,12115
77261,254418,288
77268,314657,12990
77524,48582,8949
77524,48582,8949
77659,243949,11095
77659,243949,1191
77669,36054,10772
77868,460924,7770
78006,213448,15563
78067,259913,15008
78383,175356,9034
78476,204057,15223
78755,48030,10238
78878,88831,11826
78882,408747,2418
79201,304669,12334
79279,23762,14457
79312,394678,13707
79452,46156,14899
79452,46156,5516
79566,32971,11636
79566,32971,16859
79681,464960,4856
79721,371664,14251
79721,443344,16787
79721,91676,1279
79743,213834,12489
79743,215879,12489
79743,434289,12489
80034,359959,2499
80204,215782,2187
80204,234215,2187
80204,334401,2187
80204,350270,2187
80204,47704,2187
80244,409804,8997
80267,68607,17564
80364,399983,12826
80434,366228,13014
80580,322717,6202
80604,88806,14679
80635,250015,4629
80964,346437,2505
81526,458919,1925
81638,369112,10821
81638,369112,10821
81688,99610,8954
81742,65000,12287
81811,301721,14213
81811,363909,14213
82009,149154,17287
82051,133456,474
82084,287557,913
82251,28307,14112
82318,117788,8408
82318,193195,5591
82318,284260,8408
82318,406775,8408
82581,373138,8332
82759,299667,7439
82819,409804,1655
83052,74833,7653
83319,177618,850
83368,261265,5681
83600,134767,17167
83600,313163,10492
83600,313163,12508
83600,329595,17167
83748,369908,6501
83823,317557,2182
84233,215051,12193
84233,215051,15786
84275,52928,13969
84327,264774,14171
84494,137427,2924
84580,48386,12852
84646,11226,12156
84660,191547,9800
84928,399031,9162
85201,18859,17534
85201,228017,17534
85201,27897,17534
85201,32227,17534
85201,80292,17534
85383,251751,2317
85383,251751,513
85555,368283,17285
85658,281812,1840
85658,304669,10025
85734,103952,13431
85734,140861,3224
85734,144507,3425
85734,148090,4875
85734,307247,12513
85734,314397,4875
85734,337395,5100
85734,408203,6794
85734,418746,9913
85734,425601,4305
85734,441814,14422
85734,444763,3566
85734,50133,15038
85734,66548,952
85734,66587,5100
85916,330894,4977
86005,100431,4877
86049,390645,8063
86082,416017,14475
86123,206930,10512
86403,413902,6551
86444,375820,3344
86609,25744,11004
86669,343033,6880
86690,278272,4727
86810,461091,13048
86982,324290,5803
87226,126236,927
87364,373138,7155
87364,373138,7155
87380,440677,9527
87559,412855,772
87660,292516,17355
87886,458526,12505
87891,430200,16955
88182,303190,9361
88183,4442,3482
88361,320130,11726
88427,202933,14855
88696,458489,7973
88841,37068,8709
88920,270523,6084
89000,336842,9985
89237,282933,14508
89426,171878,7853
89656,8347,6231
89783,213834,17491
89783,445351,17491
89882,133472,11056
90080,272813,9542
90093,368337,16495
90186,346996,13517
90253,57245,7040
90352,425758,0
90496,365832,1523
90496,98893,1523
90565,179813,12687
90902,296795,9147
91370,171143,3286
91900,179601,11054
91913,248630,12857
92098,314201,10640
92159,190260,10018
92347,372397,844
92384,166129,13630
92384,5073,13630
93232,314789,7170
93328,323641,3531
93424,128745,1886
93652,335940,9793
93887,444899,6983
93978,157441,2980
94030,101718,11642
94030,125925,11642
94030,222868,11642
94030,439726,11642
94071,145403,5305
94177,460553,16842
94182,461686,6848
94235,292658,5386
94463,257040,1356
94463,289249,1356
94529,449489,7934
94751,217605,16119
94832,411959,9679
94994,389572,10353
95059,362851,17065
95090,450455,13036
95161,40499,1589
95233,181483,3041
95536,261455,12626
95794,430550,7884
96196,416530,8587
96387,388536,17471
96558,171878,257
96640,249469,15251
96705,346186,10131
96947,68070,17447
97209,331114,8999
97480,320526,4730
97675,17798,12847
97675,17798,12847
97675,208884,12847
97675,208884,12847
97675,344616,12847
97675,344616,12847
97675,91547,12847
97675,91547,12847
97675,91547,12847
97675,98633,12847
97675,98633,12847
97675,98633,12847
97865,231352,10556
97992,257040,15720
98071,127688,7295
98071,288105,7295
98071,331381,7295
98071,388333,7295
98071,400644,7295
98071,42841,7295
98093,336842,10263
98364,365512,4343
98371,145100,8552
98492,216425,4554
98499,283971,16935
98772,319900,8981
98772,373581,8981
98799,305833,10346
98887,75195,15244
99015,74497,15255
99081,170262,15615
99160,387105,2535
99569,449391,6478
99589,212956,310
99634,336248,14194
99661,363302,4616
99743,424387,240
99830,219821,13767
99830,329443,13767
99915,359439,6049
99962,228644,12909
100012,196659,1047
100020,70387,17359
100067,450082,11751
100198,186933,12539
100439,263338,15666
100459,444006,4044
100539,214847,5324
100790,288340,9889
100809,36117,8104
100809,425892,8104
100809,81944,8104
100840,187913,15150
100852,4001,16250
100894,325623,8463
100988,104815,12222
100988,377454,12222
101161,199975,13706
101175,130352,6433
101175,130352,9406
101175,152260,6613
101175,152260,7635
101175,158575,15369
101175,158575,3725
101175,234215,15369
101175,234215,3725
101175,276240,15369
101175,276240,3725
101175,281717,3725
101175,285637,15369
101175,285637,3725
101175,288887,15369
101175,288887,3725
101175,31591,3725
101175,316239,3725
101175,415020,15369
101175,446102,3725
101175,74634,6433
101175,74634,9406
101175,91086,3725
101175,98374,15369
101175,98374,3725
101483,317513,786
101633,224295,1851
101747,393562,10034
101821,342331,6964
102019,150318,13556
102019,49521,13556
102227,51143,2226
102454,413125,14478
102507,23914,7968
102507,247420,7968
102507,437106,7968
102636,239514,13401
102676,162745,5694
102742,126214,4841
102877,268883,14184
102957,109598,9729
103171,254875,6547
103408,287647,17021
103637,12728,11333
103637,150098,11333
103637,2422,11333
103637,352889,11333
103637,386049,11333
103744,167337,16299
103808,325772,12940
103993,16775,6059
103993,16775,981
104058,118932,10191
104058,175859,3109
104058,19545,3109
104058,291898,10191
104058,446196,3109
104182,394052,2442
104260,294790,14307
104434,187026,5531
104522,441645,4523
104560,301020,11940
104815,129111,5448
104850,321129,1474
104866,272969,9603
104929,196316,17249
104974,155566,13220
104974,86894,13220
105003,243406,7027
105033,185896,10805
105090,161566,15553
105164,385475,17500
105283,256721,15555
105465,432842,15982
105552,270081,15997
105693,137791,5806
105729,111201,14678
105795,94773,16614
105857,81494,4064
106106,330264,3059
106381,84310,15499
106470,272667,6923
106515,267663,16242
106554,412332,10256
106626,212006,7958
106733,46644,9625
107007,378862,10591
